Rank,Game,Month,Year,YearTop1,Hours_watched,Hours_streamed,Peak_viewers,Peak_channels,Streamers,Avg_viewers,Avg_channels,Avg_viewer_ratio
1.0,898,1.0,2016.0,0,94377226.0,1362044.0,530270.0,2903.0,129172.0,127021.0,1742.8,69.29
2.0,284,1.0,2016.0,1,47832863.0,830105.0,372654.0,2197.0,30256.6,64378.0,1117.0,57.62
3.0,431,1.0,2016.0,0,45185893.0,433397.0,169907.0,1100.0,44074.0,60815.0,583.0,104.26
4.0,737,1.0,2016.0,0,39936159.0,235903.0,94691.4,619.4,36170.0,53749.0,317.0,169.29
5.0,213,1.0,2016.0,0,16153057.0,1151578.0,71639.0,484.2,214054.0,21740.0,1549.0,14.03
6.0,1393,1.0,2016.0,0,10231056.0,490002.0,64432.0,1538.0,88820.0,13769.0,659.0,20.88
7.0,1991,1.0,2016.0,0,3170927.8,342978.0,46130.0,1180.0,24452.4,11805.0,461.0,25.57
8.0,2028,1.0,2016.0,0,7894571.0,205569.0,41588.0,460.0,17592.2,10625.0,276.0,38.4
9.0,1672,1.0,2016.0,0,7688369.0,53235.0,84051.0,148.0,10779.0,3471.4,71.0,144.42
10.0,525,1.0,2016.0,0,6988475.0,203646.0,145728.0,403.0,25338.6,2121.8,274.0,34.32
11.0,1393,1.0,2016.0,0,6567126.0,73753.0,60355.0,178.0,7133.0,8838.0,99.0,89.04
12.0,400,1.0,2016.0,1,6235668.0,218490.0,57383.0,2185.0,25458.0,8392.0,294.0,28.54
13.0,380,1.0,2016.0,0,5892573.0,551615.0,18783.0,1741.0,60340.0,7930.0,742.0,10.68
14.0,154,1.0,2016.0,0,5270251.0,184279.0,67256.0,1099.0,22637.0,7093.0,248.0,28.6
15.0,1990,1.0,2016.0,0,4993627.0,128356.0,39358.0,368.0,16121.0,6720.0,172.0,38.9
43.2,1830,1.0,2016.0,0,4866039.0,242134.0,27276.0,694.0,16606.8,6549.0,325.0,20.1
17.0,1432,6.6,2020.2,0,4632857.0,74628.0,18809.0,167.0,7628.0,6235.0,100.0,62.08
18.0,1831,1.0,2016.0,0,4495935.0,61799.0,148710.0,2008.0,28361.0,4464.4,83.0,16.03
19.0,688,1.0,2016.0,0,4014296.0,407172.0,39633.2,1197.0,85441.0,5402.0,111.0,9.86
20.0,1441,7.2,2016.0,0,3788701.0,114041.0,70542.0,296.0,15389.0,3561.4,153.0,33.22
21.0,292,6.6,2016.0,0,3181207.0,119776.0,69027.0,255.6,15551.0,4281.0,161.0,26.56
22.0,1289,1.0,2016.0,0,3151063.0,28855.6,18034.0,126.0,2527.0,2673.0,49.0,86.46
23.0,1626,1.0,2016.0,0,3057789.0,24589.0,232989.0,77.0,2288.0,4115.0,37.0,111.14
24.0,751,1.0,2019.6,0,3024529.0,102977.0,34216.0,268.0,12972.0,4070.0,138.0,29.37
25.0,336,1.0,2019.2,0,2664560.0,33174.0,40249.0,158.0,4900.0,3586.0,44.0,80.32
26.0,73,6.4,2016.0,1,2542838.0,86219.0,32132.0,275.0,8771.0,3422.0,116.0,29.49
125.4,347,8.0,2016.0,0,2321012.0,71715.0,30208.0,208.0,6985.0,3123.0,96.0,32.36
28.0,1110,1.0,2016.0,1,5561975.8,196109.0,87834.8,678.0,34202.0,3062.0,263.0,26.528000000000002
29.0,971,1.0,2016.0,0,2187509.0,13939.0,21482.0,50.0,1015.0,2944.0,18.0,156.93
30.0,71,1.0,2016.0,0,1136570.0,93060.0,19486.0,241.0,9575.0,2627.0,125.0,20.97
31.0,724,1.0,2016.0,0,1846844.0,83204.0,40639.0,259.0,14525.0,4159.0,111.0,22.2
81.6,1645,1.0,2016.0,0,1790598.0,10638.0,114935.0,55.0,1895.0,2409.0,14.0,168.32
125.8,1098,1.0,2016.0,1,1719354.0,31647.0,27359.0,88.0,4925.0,2314.0,42.0,54.33
34.0,1647,1.0,2016.0,0,1718837.0,21070.0,92079.0,95.0,2899.0,2313.0,28.0,81.58
35.0,1228,1.0,2019.8,0,1701987.0,63038.0,5337.0,157.0,5160.0,2290.0,84.0,27.0
36.0,545,1.0,2016.0,1,1681938.0,51204.6,12713.0,781.0,51042.0,2263.0,362.0,6.24
37.0,1418,1.0,2016.0,0,1566964.0,151028.0,68040.0,402.0,36282.0,2108.0,203.0,10.38
76.2,1393,1.0,2016.0,0,1511191.0,34912.0,37730.0,381.0,4363.0,2033.0,46.0,43.29
39.0,1752,1.0,2016.0,1,1508712.0,12586.0,15007.0,95.8,1206.0,2030.0,16.0,38.872
40.0,1339,9.8,2016.0,0,750071.4,11803.0,43813.0,61.0,1763.8,1898.0,15.0,45.082
41.0,1694,9.2,2016.0,0,1358589.0,32059.0,14111.0,157.2,4543.0,1828.0,43.0,42.38
42.0,1434,1.0,2016.0,0,1346240.0,47734.0,30867.0,137.0,6432.0,1811.0,64.0,28.2
43.0,167,1.0,2016.0,0,1300353.0,86384.0,199060.0,257.0,17349.0,1750.0,116.0,15.05
44.0,1714,1.0,2016.0,0,1192580.0,32134.0,28229.4,82.0,4854.0,1605.0,43.0,37.11
45.0,953,1.0,2016.0,0,1179288.0,188569.0,18054.0,649.0,31696.0,1587.0,253.0,6.25
46.0,329,1.0,2018.8,0,1176135.0,30235.0,14051.0,137.8,3882.0,1582.0,40.0,38.9
47.0,2004,1.0,2016.0,0,814545.0,16078.0,12424.0,44.0,1601.0,1550.0,21.0,71.63
48.0,917,1.0,2016.0,0,1143257.0,26768.0,23981.0,87.0,1542.0,1538.0,36.0,42.71
136.8,500,9.6,2016.0,0,1109797.0,47937.0,33826.0,168.0,7000.0,1493.0,64.0,23.15
50.0,1750,1.0,2016.0,0,1011289.0,4379.0,141110.0,22.0,4452.6,1361.0,5.0,27.733999999999998
51.0,1275,1.0,2016.0,0,992216.0,31384.8,11278.0,61.0,1428.0,1335.0,27.0,49.03
52.0,456,1.0,2016.0,0,870056.0,7939.0,21769.0,31.0,1172.0,1171.0,10.0,109.59
53.0,1393,1.0,2016.0,0,586952.6,35006.0,14715.4,133.0,8326.0,1141.0,47.0,24.22
54.0,1619,1.0,2016.0,0,828873.0,9001.0,174067.0,31.0,1129.0,1115.0,12.0,92.09
55.0,2040,1.0,2016.0,0,778404.0,71335.0,9349.0,192.0,7728.8,1047.0,96.0,10.91
56.0,1393,1.0,2016.0,0,743255.0,89365.0,7165.0,322.0,0.0,1000.0,120.0,8.32
57.0,1393,1.0,2019.4,0,731382.0,30275.0,31993.0,87.0,7840.0,984.0,40.0,24.16
58.0,331,1.0,2016.0,0,723453.0,58663.0,6539.0,138.2,9195.0,973.0,55.4,12.33
59.0,1393,1.0,2017.4,0,708888.0,2302.0,186472.0,19.0,242.0,954.0,3.0,110.268
60.0,1810,1.0,2016.0,0,700557.0,12229.0,54981.0,193.0,2472.0,942.0,16.0,57.29
61.0,125,1.0,2017.8,0,672524.0,96185.0,6349.0,271.0,21087.0,905.0,129.0,6.99
62.0,1940,1.0,2016.0,1,665832.0,14699.0,31274.2,95.6,1117.0,896.0,22.0,45.326
63.0,1393,1.0,2016.0,0,654061.0,7762.0,186000.0,39.0,720.0,880.0,11.4,84.26
64.0,990,1.0,2016.0,0,602344.0,6104.0,186246.0,38.0,1392.0,810.0,16.0,98.68
65.0,1393,1.0,2016.0,0,593909.0,84869.0,27440.0,219.0,14361.0,799.0,114.0,7.0
129.6,1634,1.0,2016.0,0,576156.0,3905.0,191257.0,35.0,510.0,775.0,7.0,147.54
67.0,1896,1.0,2016.0,0,572012.0,34509.0,32732.0,118.0,7760.0,769.0,46.0,16.58
68.0,1409,1.0,2016.0,0,567366.0,27087.0,32860.0,461.0,6636.0,763.0,58.2,20.95
69.0,1393,5.8,2016.0,0,546864.0,4640.0,40972.0,51.0,1033.0,736.0,6.0,117.86
70.0,566,1.0,2016.0,0,535452.0,1158.0,147048.0,21.0,2576.2,720.0,1.0,462.39
71.0,1938,1.0,2016.0,1,506831.0,25942.0,21670.2,76.0,4532.0,682.0,34.0,19.54
72.0,1993,1.0,2016.0,0,505245.0,29616.0,7858.0,86.0,3467.0,680.0,39.0,17.06
73.0,702,1.0,2016.0,1,399960.0,22825.6,5711.0,71.0,6029.6,673.0,35.0,19.14
74.0,461,1.0,2016.0,0,495929.0,7820.0,11416.8,54.0,767.0,667.0,10.0,63.42
75.0,1601,1.0,2016.0,0,412373.2,5516.0,23133.0,121.0,2561.0,639.0,7.0,86.18
122.6,1809,1.0,2016.0,0,466001.0,55249.0,5797.0,147.0,10895.0,627.0,74.0,8.43
77.0,1393,1.0,2016.0,0,459837.0,850.0,138248.0,21.0,1167.6,618.0,1.0,540.98
117.6,257,1.0,2016.0,0,456407.0,17048.0,2096.0,49.0,1906.0,1682.0,22.0,26.77
79.0,1278,8.0,2016.0,0,456370.0,3276.0,185106.0,40.0,540.0,614.0,4.0,139.31
80.0,1287,1.0,2016.0,0,449878.0,855.0,210369.0,40.0,205.0,605.0,1.0,526.17
81.0,1822,6.0,2016.0,0,441300.0,15929.0,4829.0,51.0,1289.0,593.0,21.0,27.7
82.0,1745,1.0,2016.0,0,435879.0,3293.0,197307.0,33.0,529.0,586.0,4.0,132.37
131.4,1622,1.0,2016.0,0,426084.0,1161.0,206252.0,17.0,2432.2,573.0,1.0,37.17
84.0,856,1.0,2016.0,0,414240.0,11042.0,21697.0,50.0,4298.0,2004.4,14.0,37.51
85.0,1393,9.0,2016.6,0,412453.0,1272.0,115905.0,16.0,216.0,555.0,1.0,324.26
86.0,718,1.0,2016.0,0,400106.0,2032.8,164561.0,17.0,81.0,538.0,0.0,2051.83
87.0,287,1.0,2016.0,0,399886.0,501.0,159957.0,29.0,172.0,538.0,0.0,798.18
88.0,644,1.0,2016.0,0,386607.0,23304.0,16292.0,77.0,4304.0,520.0,31.0,16.59
154.4,1393,1.0,2018.6,0,386581.0,944.0,976.0,5.0,2900.8,520.0,1.0,64.64
90.0,1393,10.0,2016.0,0,385297.0,7555.0,6693.0,24.0,636.0,518.0,10.0,24.338
91.0,1490,1.0,2017.8,0,376760.0,12924.0,3841.0,47.0,2258.0,507.0,17.0,29.15
92.0,1038,1.0,2016.0,0,375184.0,50450.0,5684.0,144.0,9245.0,504.0,67.0,7.44
93.0,750,1.0,2016.0,0,369714.0,10696.0,2372.0,33.0,831.0,497.0,14.0,27.064
94.0,1713,3.4,2016.0,1,368914.0,95323.0,40907.6,154.0,9198.0,496.0,75.0,14.690000000000001
95.0,1393,1.0,2016.0,0,367801.0,5515.0,160038.0,27.0,1789.0,495.0,7.0,66.69
96.0,1011,1.0,2016.0,0,361188.0,3974.0,11309.0,20.0,506.0,486.0,5.0,90.89
97.0,1390,1.0,2016.0,0,360552.0,23847.0,27708.0,369.0,4963.0,485.0,32.0,15.12
98.0,1464,1.0,2016.0,0,353435.0,492.0,41675.0,12.0,112.0,475.0,0.0,718.36
105.8,1506,1.0,2016.0,0,341509.0,2276.0,37991.0,29.0,812.0,953.2,3.0,150.05
100.0,1546,1.0,2016.0,0,333666.0,16590.0,128419.0,79.0,1754.0,449.0,22.0,20.11
101.0,121,10.0,2016.0,0,332256.0,6690.4,12555.6,19.0,1097.0,447.0,2.0,162.79
102.0,977,5.6,2016.0,0,330133.0,14881.0,13613.0,41.0,1425.0,444.0,20.0,35.392
103.0,1393,1.0,2016.0,0,329765.0,21209.2,32609.0,154.8,4933.0,443.0,34.0,13.04
104.0,149,1.0,2016.0,0,320675.0,15798.0,1888.0,44.0,1416.0,431.0,21.0,20.3
105.0,1889,1.0,2016.0,0,312805.4,11874.0,8358.4,42.0,2275.0,429.0,15.0,26.91
106.0,428,1.0,2017.2,0,316101.0,993.0,181740.0,11.4,218.0,425.0,1.0,318.33
107.0,872,1.0,2016.0,1,315368.0,209.0,158893.0,9.0,58.0,424.0,3.4,1508.94
108.0,48,1.0,2016.0,0,314055.0,724.0,43089.0,48.0,186.0,422.0,0.0,433.78
